"en","tr"
"Salvaged modules can be re-forged. In the Research Lab, open the Combat category: research Kinetic Weapons Theory, then Firmware Hacking beneath it, to unlock Hack Cards — module affix crafting.","Kurtarılmış modüller yeniden şekillendirilebilir. Araştırma Laboratuvarı'nda Savaş kategorisini aç: Kinetik Silah Teorisi'ni, ardından altındaki Ürün Yazılımı Hackleme'yi araştır ve Hack Kartlarının — modül eki üretiminin — kilidini aç."
"The Beta Colony Charter demands three XENON HARBINGER cores. Defeat the Sector Alpha boss three times.","Beta Kolonisi Sözleşmesi üç XENON HABERCİSİ çekirdeği talep ediyor. Sektör Alfa patronunu üç kez yen."
"The Warmaster breaks the zone's pattern too: it is WEAK TO KINETIC, not energy. Fabricate 3 'Autocannon' (Z3 KINETIC) and equip one per weapon slot — swap before the fight.","Savaş Ustası da bölgenin kuralını bozar: enerjiye değil, KİNETİĞE KARŞI ZAYIFTIR. 3 adet 'Otomatik Top' (B3 KİNETİK) üretin ve her silah yuvasına bir tane donatın — dövüşten önce silah değiştirin."
"The Pulse Laser runs on Focus Crystals. In the Engineering tab, produce 60 Focus Crystals","Darbe Lazeri Odak Kristalleriyle çalışır. Mühendislik sekmesinde 60 Odak Kristali üretin"
"The Scrap Collector is armored against kinetic AND energy but blows apart under EXPLOSIVE ordnance. In the Shipyard, craft 2 'Micro-Missile Launcher'","Hurda Toplayıcı kinetik VE enerjiye karşı zırhlıdır ancak PATLAYICI mühimmat altında parçalanır. Tersanede 2 adet 'Mikro-Füze Fırlatıcı' üret"
"The Threshold (Sector 11) is warp-hardened — only Cryo weapons breach it. Research Cryogenic Armaments in the Warp Tech tab (prereqs: Energy Metrics, then Cryogenic Systems).","Eşik (Sektör 11) warp sertleştirmesine sahiptir — sadece Kriyojenik silahlar onu aşabilir. Warp Teknolojisi sekmesinde Kriyojenik Silahları araştır (önkoşullar: Enerji Metrikleri, ardından Kriyojenik Sistemler)."
"The Warmaster will shred Zone-2 armor. Fabricate 2 'Composite Plate' (Z3 armor) and equip one per armor slot.","Savaş Ustası Bölge-2 zırhını parçalayacaktır. 2 adet 'Kompozit Plaka' (B3 zırh) üretin ve her zırh yuvasına bir tane donatın."
"The launcher fires Missiles. In the Engineering tab, produce 60 HE Missiles.","Fırlatıcı Füzeler ateşler. Mühendislik sekmesinde 60 Yüksek Patlayıcılı Füze üretin."
"Unlock Basic Engineering in the Research tab.","Araştırma sekmesinde Temel Mühendisliğin kilidini aç."
"Void Artifacts drop from Sector Alpha ships — defeat them in Combat until you collect 5.","Hiçlik Eserleri Sektör Alfa gemilerinden düşer — 5 tane toplayana kadar onları Savaşta yen."
"Your Zone-1 guns barely dent Zone-2 armor. And the boss breaks the Belt's pattern: the Silicate Monolith shrugs off explosive and is WEAK TO ENERGY. Fabricate 3 'Plasma Cutter' (Z2 ENERGY) and equip one per weapon slot before the fight.","Bölge-1 silahlarınız Bölge-2 zırhını zar zor çizer. Patron ise Kuşağın kuralını bozar: Silikat Monoliti patlayıcıyı savuşturur ve ENERJİYE KARŞI ZAYIFTIR. 3 adet 'Plazma Kesici' (B2 ENERJİ) üretin ve dövüşten önce her silah yuvasına bir tane donatın."
"You have the iron and the lithium. In the Shipyard, craft 2 'Basic Battery' modules — every module you equip draws power, and these are what supply it.","Demirin ve lityumun var. Tersanede 2 adet 'Temel Batarya' modülü üret — donattığın her modül güç çeker, bunlar da onu sağlar."
"Your grid can run hotter. Fabricate a Boost Card in the Engineering tab — it takes Advanced Circuits, Superalloy, and a Quantum Core (Sector Alpha hostiles drop them).","Ağınız daha sıcak çalışabilir. Mühendislik sekmesinde bir Takviye Kartı üretin — Gelişmiş Devreler, Süperalaşım ve bir Kuantum Çekirdeği gerektirir (Sektör Alfa düşmanları onları düşürür)."
"m028","m028"
"m033c","m033c"
"%s played","%s oynandı"
"Systems Damaged","Sistemler Hasar Aldı"
"Losing a fight is costly: every equipped module takes durability damage, and worn modules risk destruction in offline combat. Repairs cost SPARE PARTS — you get those ONLY by demolishing unwanted modules in the Designer. Match your loadout to the sector before you engage.","Bir savaşı kaybetmek pahalıdır: kuşanılmış her modül dayanıklılık hasarı alır ve yıpranmış modüller çevrimdışı savaşta yok olma riski taşır. Onarımlar YEDEK PARÇA gerektirir — bunları YALNIZCA Tasarımcı'da istemediğin modülleri sökerek elde edersin. Girişmeden önce teçhizatını sektöre göre ayarla."
"The Threshold Awaits","Eşik Bekliyor"
"Sector 10 cleared! The frontier beyond is Warp-Hardened - conventional weapons barely scratch it. Open the Warp Core (here) and execute a reset: it permanently unlocks Cryogenic armaments (the only thing that pierces these hulls) and reveals Sector 11. Your research and Warp Mastery carry over, and every run gets faster.","Sektör 10 temizlendi! Ötedeki sınır Warp-Sertleştirilmiş — sıradan silahlar onu zar zor çizer. Warp Çekirdeği'ni (burada) aç ve bir sıfırlama gerçekleştir: bu, Kriyojenik silahları (bu gövdeleri delebilen tek şey) kalıcı olarak açar ve Sektör 11'i ortaya çıkarır. Araştırman ve Warp Ustalığın devreder ve her koşu daha hızlı olur."
"Gathering Operations","Toplama Operasyonları"
"Pick an action to start gathering resources. It runs automatically on a timer — and keeps producing even while the game is closed. Only ONE task runs at a time: starting a different activity pauses this one.","Kaynak toplamaya başlamak için bir eylem seç. Bir zamanlayıcıyla otomatik çalışır — ve oyun kapalıyken bile üretmeye devam eder. Aynı anda YALNIZCA bir görev çalışır: başka bir etkinlik başlatmak bunu duraklatır."
"Skill Progression","Yetenek İlerlemesi"
"Every action grants skill XP. Leveling this skill unlocks higher-tier resources and faster actions.","Her eylem yetenek XP'si verir. Bu yeteneği yükseltmek daha üst kademe kaynakları ve daha hızlı eylemleri açar."
"Research Tree","Araştırma Ağacı"
"Research unlocks new gathering actions, processing recipes, ships, and combat zones. Switch categories with these tabs.","Araştırma yeni toplama eylemleri, işleme tarifleri, gemiler ve savaş bölgeleri açar. Kategorileri bu sekmelerle değiştir."
"Unlocking Tech","Teknoloji Açma"
"Each node costs Liras and sometimes items. Gold = ready to unlock, green = already owned. A glowing tab marks the tech your current mission needs.","Her düğüm Lira ve bazen eşya gerektirir. Altın = açılmaya hazır, yeşil = zaten sahip. Parlayan bir sekme, mevcut görevinin ihtiyaç duyduğu teknolojiyi işaretler."
"Your Objective","Hedefin"
"This is your current mission. Follow it — these objectives guide you through the whole early game, one step at a time.","Bu senin mevcut görevin. Onu takip et — bu hedefler tüm erken oyun boyunca sana adım adım rehberlik eder."
"Claiming Rewards","Ödülleri Talep Etme"
"When an objective is complete, claim it here to collect Liras and XP and unlock the next mission.","Bir hedef tamamlandığında, Lira ve XP toplamak ve sonraki görevi açmak için onu buradan talep et."
"Refine raw materials into useful goods. Recipes are grouped by category and need their inputs in your inventory.","Ham maddeleri kullanışlı mallara işle. Tarifler kategoriye göre gruplanır ve girdilerinin envanterinde olmasını gerektirir."
"Processing Skill","İşleme Yeteneği"
"Processing is its own skill. Leveling it unlocks alloys, electronics, munitions, and more advanced recipes.","İşleme kendi yeteneğidir. Onu yükseltmek alaşımları, elektronikleri, mühimmatı ve daha gelişmiş tarifleri açar."
"Build ship hulls and modules here from refined materials. Bigger hulls have more module slots and hull points.","Burada işlenmiş maddelerden gemi gövdeleri ve modüller inşa et. Daha büyük gövdeler daha fazla modül yuvasına ve gövde puanına sahiptir."
"Active Ship","Aktif Gemi"
"This shows your current ship's combat stats. After building modules, equip them in the Designer.","Bu, mevcut geminin savaş istatistiklerini gösterir. Modülleri inşa ettikten sonra, onları Tasarımcı'da kuşan."
"Drag modules from your armory onto these ship slots to equip weapons, shields, armor and engines.","Silah, kalkan, zırh ve motor kuşanmak için modülleri cephaneliğinden bu gemi yuvalarına sürükle."
"Batteries & Power","Bataryalar ve Güç"
"Modules draw power; only battery modules supply it. Keep batteries equipped — if draw exceeds supply, your ship can't engage at all. Batteries never drop from combat: craft them in the Shipyard.","Modüller güç çeker; yalnızca batarya modülleri güç sağlar. Bataryaları kuşanılı tut — çekilen güç arzı aşarsa, gemin hiç savaşamaz. Bataryalar savaştan asla düşmez: onları Tersane'de üret."
"Matrix Synthesis Online","Matris Sentezi Devrede"
"A new craft is available: MATRIX SYNTHESIS rolls a random Cracked Matrix Core — a socketable bonus chip. Craft one, then drag it onto a ◆-slotted module in the Ship Designer. Fusing 3 identical cores upgrades them to a stronger tier.","Yeni bir üretim mevcut: MATRİS SENTEZİ rastgele bir Çatlak Matris Çekirdeği üretir — yuvalanabilir bir bonus çip. Bir tane üret, sonra onu Gemi Tasarımcısı'nda ◆-yuvalı bir modüle sürükle. 3 özdeş çekirdeği birleştirmek onları daha güçlü bir kademeye yükseltir."
"Matrix Cores","Matris Çekirdekleri"
"You own a Matrix Core — an equippable bonus chip. Use Matrix Synthesis to roll more, then fuse 3 of a kind into a stronger tier.","Bir Matris Çekirdeğine sahipsin — kuşanılabilir bir bonus çip. Daha fazlasını üretmek için Matris Sentezi'ni kullan, sonra aynı türden 3 tanesini daha güçlü bir kademede birleştir."
"Matrix Sockets","Matris Yuvaları"
"Modules with ◆ slots hold Matrix Cores. Drag a core onto a socketed, equipped module — the bonus applies globally, so placement doesn't matter.","◆ yuvalı modüller Matris Çekirdeklerini tutar. Bir çekirdeği yuvalı, kuşanılmış bir modüle sürükle — bonus küresel olarak uygulanır, yani yerleşim önemli değildir."
"Build Slots","Yapı Yuvaları"
"You're carrying more than one weapon type now. The LOADOUTS row has 5 build slots. Click an EMPTY slot to switch to a fresh, empty ship, then equip it — it saves to that slot automatically as you go (no manual save). Keep a Kinetic, an Energy and an Explosive build in separate slots; then before a fight, one click swaps your whole ship to match the enemy's weakness — no re-equipping.","Artık birden fazla silah türü taşıyorsun. TEÇHİZAT satırında 5 yapı yuvası var. Yeni, boş bir gemiye geçmek için BOŞ bir yuvaya tıkla, sonra onu kuşan — ilerledikçe o yuvaya otomatik kaydedilir (manuel kayıt yok). Ayrı yuvalarda bir Kinetik, bir Enerji ve bir Patlayıcı yapı tut; sonra bir savaştan önce, tek tıkla tüm gemin düşmanın zayıflığına uyacak şekilde değişir — yeniden kuşanmak yok."
"Set Bonuses","Set Bonusları"
"That module belongs to a SET (named on the module). Equip 3 pieces of the SAME set at once to unlock its set bonus — a large combat multiplier on top of the modules' own stats. Completing a set is one of the strongest build upgrades in the game; the Sector bosses drop the unique set pieces.","Bu modül bir SETE aittir (adı modülün üzerinde yazılı). Set bonusunu açmak için AYNI setten 3 parçayı aynı anda kuşan — modüllerin kendi istatistiklerinin üzerine büyük bir savaş çarpanı. Bir seti tamamlamak oyundaki en güçlü yapı yükseltmelerinden biridir; Sektör bölüm sonu canavarları benzersiz set parçalarını düşürür."
"Combat Sectors","Savaş Sektörleri"
"This is the Sector Chart — pick a system to patrol. Deeper sectors mean tougher enemies but better loot and materials; cleared sectors glow, and the frontier waits ahead.","Bu, Sektör Haritası — devriye gezmek için bir sistem seç. Daha derin sektörler daha zorlu düşmanlar ama daha iyi ganimet ve madde demektir; temizlenen sektörler parlar ve sınır ileride bekler."
"Engaging Targets","Hedeflerle Savaşma"
"Click a sector to drop in, then pick a hostile cluster or its boss on the map. Combat runs on its own — defeat foes for module drops and resources.","Girmek için bir sektöre tıkla, sonra haritada düşman bir küme veya onun bölüm sonu canavarını seç. Savaş kendi kendine ilerler — modül ganimetleri ve kaynaklar için düşmanları yen."
"Weapon Damage Types","Silah Hasar Türleri"
"Once you pick a target, this panel shows what it RESISTS and is WEAK TO. Match your equipped weapons to the weakness for far faster kills.","Bir hedef seçtiğinde, bu panel neye DİRENÇLİ ve neye KARŞI ZAYIF olduğunu gösterir. Çok daha hızlı öldürmeler için kuşandığın silahları zayıflığa göre eşleştir."
"Repair Kits in Combat","Savaşta Onarım Kitleri"
"These HULL and SHLD buttons spend an equipped repair kit to patch up mid-fight (short shared cooldown). They are manual by default — research Auto-Repair to make them fire automatically at a set HP threshold.","Bu GÖVDE ve KALKAN düğmeleri, savaş ortasında onarmak için kuşanılmış bir onarım kiti harcar (kısa ortak bekleme). Varsayılan olarak manueldir — belirlenen bir can eşiğinde otomatik tetiklenmeleri için Otomatik-Onarım araştır."
"Buildings auto-produce resources in the background — always running, even while you're away or doing other tasks. Stacking many of the same building has diminishing returns past ~10.","Binalar arka planda otomatik kaynak üretir — sen yokken veya başka görevler yaparken bile hep çalışır. Aynı binadan çok sayıda yığmak ~10'dan sonra azalan getiri sağlar."
"Power Balance","Güç Dengesi"
"Production consumes power. Keep this net energy balance positive or buildings throttle down. (This grid is separate from your ship's batteries — the two never mix.)","Üretim güç tüketir. Bu net enerji dengesini pozitif tut yoksa binalar kısılır. (Bu şebeke, geminin bataryalarından ayrıdır — ikisi asla karışmaz.)"
"All your materials live here, and cargo is slot-limited — when it's full, newly gathered materials are lost. Expand storage below or clear out what you don't need.","Tüm maddelerin burada bulunur ve kargo yuva sınırlıdır — dolduğunda, yeni toplanan maddeler kaybolur. Aşağıdan depoyu genişlet veya ihtiyacın olmayanı temizle."
"Expanding Storage","Depoyu Genişletme"
"Spend Liras here to add more inventory slots as your operation grows.","Operasyonun büyüdükçe daha fazla envanter yuvası eklemek için buraya Lira harca."
"Bounty Board","Ödül Panosu"
"Combat contracts, one board per sector — pick a sector tab, accept a contract, and kills there count automatically. Contracts never expire; boards re-roll every 8 hours (or pay to refresh one sector).","Savaş sözleşmeleri, her sektöre bir pano — bir sektör sekmesi seç, bir sözleşme kabul et, oradaki öldürmeler otomatik sayılır. Sözleşmeler asla sona ermez; panolar her 8 saatte bir yenilenir (veya bir sektörü yenilemek için öde)."
"Active Contracts","Aktif Sözleşmeler"
"Accepted contracts track here (3 slots, shared across sectors). Finish the objective, then CLAIM for Liras + a guaranteed ship module.","Kabul edilen sözleşmeler burada izlenir (3 yuva, sektörler arasında paylaşılır). Hedefi tamamla, sonra Lira + garantili bir gemi modülü için TALEP ET."
"Claiming Orders","Siparişleri Talep Etme"
"Finished orders stack up — claim them all here for their combined rewards.","Biten siparişler birikir — birleşik ödülleri için hepsini buradan talep et."
"Warping resets your run but grants Exotic Matter: permanent multipliers that make every future run dramatically faster.","Warp yapmak koşunu sıfırlar ama Egzotik Madde verir: her gelecekteki koşuyu çarpıcı biçimde hızlandıran kalıcı çarpanlar."
"When to Warp","Ne Zaman Warp Yapılır"
"Warping happens on the SECTOR CHART — enter the Singularity that a sector boss's death tears open. It never expires, and your score must DOUBLE for each extra shard, so pushing deeper before entering earns far more per run. Every 5 warps raises your Warp Tier, doubling the bonus scale.","Warp, SEKTÖR HARİTASINDA gerçekleşir — bir sektör bölüm sonu canavarının ölümüyle açılan Tekilliğe gir. Asla sona ermez ve her ek Parça için puanın İKİYE KATLANMALIDIR, bu yüzden girmeden önce daha derine ilerlemek koşu başına çok daha fazla kazandırır. Her 5 warp, Warp Kademeni yükselterek bonus ölçeğini ikiye katlar."
"Warp Mastery Tree","Warp Ustalığı Ağacı"
"Spend Exotic Matter Shards here on permanent upgrades — spending NEVER weakens your global Warp multipliers (those scale with shards ever earned). The Engineering branch opens on your first Warp, Combat on your second. Your first Warp also grants Cryo weapons: the key to breaching Sector 11.","Egzotik Madde Parçalarını burada kalıcı yükseltmelere harca — harcamak küresel Warp çarpanlarını ASLA zayıflatmaz (onlar şimdiye dek kazanılan Parçalarla ölçeklenir). Mühendislik dalı ilk Warp'ında, Savaş ise ikincisinde açılır. İlk Warp'ın ayrıca Kriyo silahları verir: Sektör 11'i aşmanın anahtarı."
"Feed the Core","Çekirdeği Besle"
"Drowning in surplus Dirt, Water, ore? Pour it into the Core here. Each deposit accrues Resonance — cashed out as BONUS Exotic Shards when you Warp. Bulk basics are worth the most; nothing is consumed unless you choose to feed it, so your stockpiles keep growing.","Fazla Toprak, Su, cevherde mi boğuluyorsun? Onu buradan Çekirdeğe dök. Her yatırım Rezonans biriktirir — Warp yaptığında BONUS Egzotik Parça olarak bozdurulur. Dökme temel maddeler en değerlisidir; sen beslemeyi seçmedikçe hiçbir şey tüketilmez, yani stokların büyümeye devam eder."
